zone,district,fiscal_year,month,diversion_rate_total,capture_rate_total,capture_dispersion_ratio
Brooklyn North,BKN01,2019,December,16.5,50,3.0303030303030303
Brooklyn North,BKN02,2019,December,21.2,41.2,1.9433962264150946
Brooklyn North,BKN03,2019,December,12.4,38.7,3.120967741935484
Brooklyn North,BKN04,2019,December,16.3,51.5,3.1595092024539877
Brooklyn North,BKN05,2019,December,10.6,33.5,3.160377358490566
Brooklyn North,BKN08,2019,December,17.1,51.9,3.0350877192982453
Brooklyn North,BKN09,2019,December,14.3,37.5,2.622377622377622
Brooklyn North,BKN16,2019,December,10.8,31.3,2.898148148148148
Brooklyn North,BKN17,2019,December,14.4,40.2,2.791666666666667
Brooklyn South,BKS06,2019,December,30,57.4,1.9133333333333333
Brooklyn South,BKS07,2019,December,20.6,53.6,2.6019417475728153
Brooklyn South,BKS10,2019,December,25.7,62,2.412451361867704
Brooklyn South,BKS11,2019,December,20.1,51.4,2.5572139303482584
Brooklyn South,BKS12,2019,December,16.3,48.1,2.950920245398773
Brooklyn South,BKS13,2019,December,14.7,45.4,3.0884353741496597
Brooklyn South,BKS14,2019,December,15.3,39.8,2.6013071895424833
Brooklyn South,BKS15,2019,December,20.4,53.2,2.6078431372549025
Brooklyn South,BKS18,2019,December,16.4,42.5,2.5914634146341466
Bronx,BX01,2019,December,7,21.7,3.1
Bronx,BX02,2019,December,13.9,44.7,3.2158273381294964
Bronx,BX03,2019,December,8.7,28,3.218390804597701
Bronx,BX04,2019,December,12,37.7,3.141666666666667
Bronx,BX05,2019,December,11.3,36.2,3.2035398230088497
Bronx,BX06,2019,December,13.2,37.2,2.8181818181818183
Bronx,BX07,2019,December,15.2,49,3.223684210526316
Bronx,BX08,2019,December,21.4,49.7,2.322429906542056
Bronx,BX09,2019,December,10.6,33.6,3.169811320754717
Bronx,BX10,2019,December,22.2,56,2.5225225225225225
Bronx,BX11,2019,December,17.4,43.1,2.477011494252874
Bronx,BX12,2019,December,21,48.7,2.3190476190476192
Manhattan,MN01,2019,December,29.5,55.2,1.8711864406779661
Manhattan,MN02,2019,December,28.5,52.9,1.856140350877193
Manhattan,MN03,2019,December,14.8,42.9,2.8986486486486482
Manhattan,MN04,2019,December,24.8,45.7,1.842741935483871
Manhattan,MN05,2019,December,21.4,40.9,1.911214953271028
Manhattan,MN06,2019,December,25.2,47.1,1.869047619047619
Manhattan,MN07,2019,December,28.7,53,1.8466898954703834
Manhattan,MN08,2019,December,28.4,54,1.9014084507042255
Manhattan,MN09,2019,December,19.1,54.5,2.853403141361256
Manhattan,MN10,2019,December,14.8,46.8,3.162162162162162
Manhattan,MN11,2019,December,11.6,36.2,3.120689655172414
Manhattan,MN12,2019,December,16.9,51.4,3.0414201183431953
Queens East,QE07,2019,December,21.6,54.7,2.5324074074074074
Queens East,QE08,2019,December,17.9,34.8,1.9441340782122905
Queens East,QE10,2019,December,20.4,49.5,2.4264705882352944
Queens East,QE11,2019,December,26.1,57,2.1839080459770113
Queens East,QE12,2019,December,17,45.7,2.6882352941176473
Queens East,QE13,2019,December,22.4,47.4,2.116071428571429
Queens East,QE14,2019,December,14.5,36.5,2.5172413793103448
Queens West,QW01,2019,December,21.1,57,2.701421800947867
Queens West,QW02,2019,December,21.7,55.6,2.5622119815668203
Queens West,QW03,2019,December,15.5,43,2.774193548387097
Queens West,QW04,2019,December,16.1,44.5,2.763975155279503
Queens West,QW05,2019,December,24.7,61.4,2.48582995951417
Queens West,QW06,2019,December,23.5,40.9,1.7404255319148936
Queens West,QW09,2019,December,23.8,53.2,2.235294117647059
Staten Island,SI01,2019,December,22.2,49.3,2.2207207207207205
Staten Island,SI02,2019,December,20.7,51.3,2.4782608695652173
Staten Island,SI03,2019,December,22.3,56.4,2.52914798206278
Brooklyn North,BKN01,2019,February,15.9,48.2,3.0314465408805034
Brooklyn North,BKN02,2019,February,20.6,40.8,1.9805825242718444
Brooklyn North,BKN03,2019,February,13,39.7,3.053846153846154
Brooklyn North,BKN04,2019,February,15.8,50,3.1645569620253164
Brooklyn North,BKN05,2019,February,10.6,33.4,3.150943396226415
Brooklyn North,BKN08,2019,February,17,52.6,3.0941176470588236
Brooklyn North,BKN09,2019,February,14,36.6,2.6142857142857143
Brooklyn North,BKN16,2019,February,9.7,28.4,2.927835051546392
Brooklyn North,BKN17,2019,February,14.2,39.6,2.7887323943661975
Brooklyn South,BKS06,2019,February,29.2,55.9,1.9143835616438356
Brooklyn South,BKS07,2019,February,20.2,52.1,2.5792079207920793
Brooklyn South,BKS10,2019,February,24.3,58.9,2.4238683127572016
Brooklyn South,BKS11,2019,February,18.9,49.8,2.634920634920635
Brooklyn South,BKS12,2019,February,15.5,47.2,3.045161290322581
Brooklyn South,BKS13,2019,February,14.4,44.3,3.0763888888888884
Brooklyn South,BKS14,2019,February,15.3,39.8,2.6013071895424833
Brooklyn South,BKS15,2019,February,19.2,50.8,2.6458333333333335
Brooklyn South,BKS18,2019,February,15.7,40.5,2.5796178343949046
Bronx,BX01,2019,February,7,22.1,3.1571428571428575
Bronx,BX02,2019,February,13.1,42.1,3.2137404580152675
Bronx,BX03,2019,February,9,28.9,3.211111111111111
Bronx,BX04,2019,February,11.9,37.3,3.1344537815126046
Bronx,BX05,2019,February,10.8,34.9,3.231481481481481
Bronx,BX06,2019,February,14.4,42.2,2.930555555555556
Bronx,BX07,2019,February,14.2,45.6,3.211267605633803
Bronx,BX08,2019,February,20.3,50.2,2.4729064039408866
Bronx,BX09,2019,February,9.9,31.3,3.1616161616161618
Bronx,BX10,2019,February,20.3,53.5,2.6354679802955663
Bronx,BX11,2019,February,16.1,41.6,2.5838509316770186
Bronx,BX12,2019,February,19.1,47.1,2.4659685863874343
Manhattan,MN01,2019,February,27.5,51.2,1.8618181818181818
Manhattan,MN02,2019,February,27.4,50.7,1.8503649635036499
Manhattan,MN03,2019,February,14.8,42.4,2.8648648648648645
Manhattan,MN04,2019,February,23.9,44.1,1.8451882845188285
Manhattan,MN05,2019,February,21.7,41.5,1.912442396313364
Manhattan,MN06,2019,February,23.7,44.1,1.8607594936708862
Manhattan,MN07,2019,February,27.4,50.5,1.843065693430657
Manhattan,MN08,2019,February,26.7,50.6,1.8951310861423223
